Companies,Positions,ID,Descriptions
Simon-Kucher & Partners,Data Scientist,b8f6c807172debe6,"['Data wrangling, cleaning, and pre-processing', 'Conducting exploratory data analysis and communicating insights through clear descriptions and visualizations', 'Developing, testing, and implementing Machine Learning models', 'Conducting research on recent developments in machine learning and AI, with a focus on topics related to pricing, sales, and marketing', 'Being a topic expert on Machine Learning and AI for your project team, enabling strong project planning and team performance', 'Degree in a quantitative field, such as computer science, engineering, statistics, operations research, data science, or equivalent experience', 'Experience with Machine Learning and statistical modelling techniques', 'Strong programming skills in R and/or Python', 'Experience applying advanced analytics and Machine Learning to solve business problems', 'Experience with data visualization software / libraries (Tableau, PowerBI, Matplotlib)', 'Comfort working both on a team and autonomously', 'Strong written and verbal communication skills, ability to simply and concisely explain complex analytical topics', 'Entrepreneurial spirit—we are a fast-growing team with vast opportunities for growth', 'Implementation experience with Machine Learning models and applications', 'Knowledge of cloud-based Machine Learning engines (AWS, Azure, Google, etc.)', 'Experience with large scale data processing tools (Spark, Hadoop, etc.)', 'Ability to query and program databases (SQL, No SQL)', 'Experience with distributed ML frameworks (TensorFlow, PyTorch, etc.)', 'Familiarity with collaborative software tools (Git, Jira, etc.)', 'Experience with user interface libraries / applications (Shiny, Django, etc.)', 'Domain expertise in pricing, demand forecasting, or time-series data', 'Why you are interested in a job at Simon-Kucher.', 'Specific reasons why your application differentiates you from other candidates.']"
Fidelity Investments,Data Scientist,4bb0fbf03740b709,"['A Ph.D.or Master’s degree in Engineering, Computer Science, Applied Mathematics orother relevant quantitative discipline', 'Industry experience would be an asset', 'Your knowledge in fixed income and equity market, brokerage business and trading', 'Your proven experience with Python, PyTorch, Kafka or KDB/Q to see and understand large amount of data', 'Your in-depth data science, machine learning and analytical knowledge to let data build narratives', 'Your eagerness to learn new things, share ideas freely and build a positive work environment', 'Your leadership and presentation skill to influence product directions', 'Crafting predictive models to improve revenue for fixed income business', 'Building tools, prototypes and simulation engines to streamline processes and test new ideas', 'Directing deployment of machine learning models through production cycle', 'Promoting culture of innovation and thought leadership', 'Influencing product directions for the benefit of our clients']"
Pluralsight,Data Scientist - Search and Explore,4c43beedb3153810,"['You are intellectually curious, collaborative, and highly driven with an entrepreneurial mindset. You have excellent critical thinking, problem solving, and analytical skills.', 'You can guide complex projects from ideation and planning to model design to deployment and independently make decisions about the technical approach', 'You have a strong foundation in Machine Learning and Natural Language Processing.', 'You have mastery of either Python or R. Regardless of your favorite scientific computing environment, you can flex between the two languages.', 'You have practical experience working with textual data and know how to build recommendation or NLP models using unstructured text.', 'You know your way around SQL-like databases (e.g. PostGres, Impala, Hive) and even better if have experience with Spark and other big data platforms.', 'You are able to perform rapid prototyping of experimental solutions, writing readable, scalable, and reproducible code.', 'You have a solid data science toolkit that you can leverage, with knowledge of and understanding of how and when to apply different algorithms and technical approaches.', 'You can describe and speak in an approachable way about complex analyses and concepts within a cross-functional team. You are a great “analytic translator”.', 'You will collaborate with the “Explore Team” to research, envision, and build machine learning solutions that power our next-generation search and personalized browse experience for Pluralsight learners.', 'You will create, iterate, and innovate on NLP and recommendation models and partner to implement them on the Pluralsight platform.', 'Champion the introduction of new technology by developing proof-of-concepts and prototypes and effectively communicating highly complex information to Experience team partners', 'You will propose and design experiments to test new product features and analyze their results.', 'You will also serve as a data science expert and consultant to Pluralsight’s product teams, leveraging your statistical and analytical skills to answer ad hoc questions.', 'M.S. or Ph.D in Computer Science, Statistics, Mathematics, Data Science, Linguistics, or related quantitative discipline', 'Minimum 5 years in a non-academic data science role, conducting analysis, developing algorithms and building prototypes', 'Experience working with product development teams and/or with developers']"
DeepHealth,Data Scientist,1d8cf47f1019b24e,"['Advanced degree in a field related to data science', 'Strong programming skills in python and libraries such as pandas', 'Experience working with DICOM data or healthcare-related data', 'Knowledge and experience in cloud infrastructure (e.g., Google Cloud, AWS, etc)']"
TripAdvisor,Data Scientist,c9169f5f8ed90ee1,"['Apply machine learning and statistical methods to solve large scale problems, including: full funnel revenue modeling; macro traveler trends; and user value models', 'Full funnel time series modeling using multi-model inputs to project revenue and understand changes to our business trends', 'Influence the team’s direction/strategy by identifying KPI for marketing initiatives, business issues, developing hypotheses and executing analysis—translating data into meaningful insights and presenting recommendations', 'Serve as technical expert and mentor to other analysts as well as a cross-functional data science consultant to other projects and teams.', 'Contribute to the development of the team’s tools, skills, standards, culture and impact.', 'Domain expertise in marketplace optimization/ design', 'Strong foundation in product analytics and statistics', 'Keen eye for detail and thoughtful investigation of data before relying upon it', 'Ability to think and execute at multiple altitudes: from strategy and vision to execution', '2+ years in industry with proven business impact', 'MS in quantitative field preferred', 'Experience with languages used for querying (e.g. Hive/Pig/SQL), preprocessing (e.g. unix/python), and statistical analysis (e.g. R/Matlab/Stata)', 'Excellent communication, organizational and project management skills. Ability to work between teams, functions and geographies, with high autonomy and little guidance']"
eviCore healthcare,Senior Machine Learning Data Scientist,d99865eae70c9779,"['Bachelor’s degree in Computer Science or related field required.', 'Master’s degree in Computer Science a plus', '4+ years of industry experience involving machine learning for commercial production in a structured environment.', 'Machine Learning expertise', 'Ability to select appropriate models given a well defined problem / data set', 'Ability to conceptualize, validate, and improve upon features used within models', 'Ability to measure model performance appropriately and prevent overfitting and other common modeling pitfalls.', 'Familiarity with industry tools, libraries and coding quality', 'High proficiency in Python', 'High proficiency writing SQL', 'Experience with Deep Learning and/or Natural Language Processing algorithms and tools a strong plus.', 'Experience with Java/C++ a strong plus.', 'Experience with big data frameworks (Hadoop, Spark, etc.) a plus.', 'Experience with healthcare data a plus.', '“Can do” attitude: you are biased towards action and ready to speak your mind.', 'Excellent organizational and communication skills.', 'Flexible scheduling and work/life balance with remote and work from home opportunities', '3 weeks of PTO(starting) per year plus paid holidays', 'Education assistance, tuition reimbursement and professional certifications', 'Health, dental, vision, and life benefits with employer funded HSA', 'Comprehensive employee discount program, onsite fitness facilities, and smart casual dress code', 'Paid Volunteer Community Service Days', 'Ample opportunities for growth, advancement, and promotion', '401k retirement plan with company match of 50% employee contributions up to 6%']"
Hopper,Senior Data Scientist,61f6469e434ce823,"['Frame and conduct complex exploratory analyses needed to deepen our understanding of our users. Partner with product, business and strategy teams to contribute to product improvements and initiatives', 'Use machine learning and big data tools on tremendously large and complex data to deepen our data-driven advice and personalized modeling', 'Conduct research into various aspects of our business and employ statistical and modeling techniques when appropriate to make recommendations to non-technical stakeholders', 'A degree in Math, Statistics, Computer Science, Engineering or other quantitative disciplines', 'Extremely strong analytical and problem-solving skills', 'Proven ability to communicate complex technical work to a non-technical audience', 'A strong passion for and extensive experience in conducting empirical research and answering hard questions with data', 'Experience with relational databases and SQL, especially Hive', 'Experience working with extremely large data sets', 'Experience in Pandas, R, SAS or other tools appropriate for large scale data preparation and analysis', 'Experience with data mining, machine learning, statistical modeling tools and underlying algorithms', 'Proficiency with Unix/Linux environments', 'Well-funded and proven startup with large ambitions, competitive salary and stock options', 'Dynamic and entrepreneurial team where pushing limits is everyday business', '100% employer paid medical, dental, vision, disability and life insurance plans', 'Access to a 401k (Boston) or Retirement Savings Plan (Montreal)', 'Easy commute with a paid-for public transportation or parking pass', 'IATA Travel Agent Card for discounts in the travel industry', 'Fully stocked kitchen with: coffee/tea, beer, bagels and snacks (both healthy and not-healthy)', 'In Cambridge, work in a historic factory building near Kendall Square; in Montreal, work in an artist’s loft in the Mile End', 'Team lunches, off-site activities and much more!']"
Lincoln Financial,Data Scientist Analyst,3890f0d479f70f9c,"['Identify opportunities where data-driven solutions to complex business problems using predictive and statistical models can drive earnings while improving the customer experience.', 'Provide expertise and collaborate with stakeholders to define data collection and analysis requirements and establish adequate business understanding to provide effective analysis.', 'Compile and mine data from a wide variety of data repositories. Validate data accuracy, and confirm data quality and consistent use across the business.', 'Design and execute analytic plans. Generate insights and inform business decisions using advanced analytical techniques.', 'Translate quantitative analyses and findings into accessible visuals for non-technical audiences, clearly interpret the data and effectively communicate findings and insights to senior executives, managers, and key stakeholders.', 'Deploy and maintain predictive models. Monitor model performance and update models.', 'Work with key stakeholders in different functions to align and consolidate key operational performance metrics.\n\nEducation', ""4 Year Bachelor's degree in Mathematics, Natural Sciences, Economics, Computer Science, Engineering, Statistics, or Information Systems.\n\nExperience"", 'Proficiency with a major programming language appropriate for data science (e.g. R, Python) to manipulate data and draw insights.', '3 - 5+ years of solid experience working on different data sources and platforms.', 'Knowledge and experience applying statistical and machine learning techniques to real business data.', 'Ability to define problems, collect data, establish facts and draw valid conclusions.', 'Strong relationship management skills with internal clients (e.g. senior management, peers and colleagues); proven ability to develop creative and collaborative approaches.', 'Curiosity and demonstrated capability of quick learning on new technical and business knowledge.', 'Flexibility and fast adaption to the changing business environment and priorities.', 'Strong interpersonal skills with a collaborative style.', 'Strong project management leadership skills including, critical ability to coordinate and balance multiple projects in a time-sensitive environment, under pressure, and meeting deadlines.', 'Proficiency with Microsoft Office Suite (Word, Excel, PowerPoint, Outlook).', 'Actuarial working experience or knowledge and experience in the insurance industry is desirable.']"
Devoted Health,Data scientist- Analytics,7bc714e40a6c3421,"['Ad-hoc analysis', 'Communication of analysis', 'Visualization/dashboarding', 'Metric definition', 'Data pipeline creation and management', 'Professional experience (1+ years) in a quantitative role', 'Experience in SQL', 'Experience in health care preferred, experience in analyzing Medicare is favored', 'Strong belief in data as a team sport', 'We are not able to provide work sponsorship at this time', 'This role will be located either in Waltham MA or Bay area, CA']"
AETNA,Data Scientist,f026cf81c7f3717a,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
