Companies,Positions,ID,Descriptions
Liberty Mutual Insurance,Software Engineer,f747dbc4c6fa3e4e,"['Develop maintainable/scalable, effective, defect-free source code that meets business requirements and team standards', 'Conduct unit test case development and highly complex test scripts', 'Conduct impact analysis', 'Develop component design and system/application architecture', 'Support the production support transition and implementation phases responsible for overall success of the project.', 'Work within project team to lead iterative development that delivers a high-quality product.', 'Support interactions with customers and development team to gather and define requirements.', 'Develop and lead the production of support documentation.', 'Lead functional/system integration testing support.', 'Lead quality assurance architecture and design guide review defects or discrepancies in requirements identified and resolved with appropriate partners.', 'Plan work out appropriately, effectively communicating and responding to escalations/inquiries.', 'Develop Build and Deployment guide.', 'Identify and implement appropriate continuous improvement opportunities.', 'Complete other project work or tasks as assigned.', ""Bachelor's or Master's degree in Computer Science or related technical discipline"", '5+ years of professional experience. Knowledge of Salesforce concepts, strategies and methodologies preferred.', 'Highly proficient in multiple Object-Oriented programming languages and tools; ability to develop on multiple platforms.', 'Salesforce Developer Certifications helpful, development and integration, including Lightning, Visualforce and Apex', 'Strong negotiation, facilitation and consensus building skills.', 'Excellent oral and written communication skills; presentation skills', 'Extensive knowledge of the following: IT concepts, strategies, methodologies. Versed in diverse technologies and new technical architecture principles and concepts.', 'Experienced in layered systems architectures solutions, designs and shared software concepts.', 'Extensive understanding of agile software development concepts and processes.', 'Must be proactive, demonstrate initiative and be a logical thinker.', 'Extensive consultative skills, including the ability to understand and apply customer requirements, including drawing out unforeseen implications and making recommendations for design, the ability to define design reasoning, understanding potential impacts of design requirements.', 'Extensive understanding of backlog tracking, burndown metrics, and incremental delivery. Strong collaboration, prioritization, and adaptability skills required.']"
ViaSat,Software Engineer Intern,a9f0ccf39692f70a,"['Web & mobile application engineering', 'Data analytics & cloud application engineering', 'Distributed enterprise software applications', 'System infrastructure development; scripting, automation, data visualization & dashboarding', 'Cybersecurity software & systems engineering', ""Currently pursuing a Bachelor's degree or higher in Computer Science &Engineering and/or a related field"", 'Exposure or desire to work with any of the following; Java, Python, JavaScript, Hadoop, MapReduce, SQL, Postrgres, C/C++ and many more', 'Able to commit to a 10-12 week internship', 'Interest in Cyber Security or Data Science', 'Experience with or desire to learn Linux']"
Pluralsight,Software Engineer,ddc20246b79174f2,"['Provide architectural, strategic, and scale recommendations for both frontend and backend development', 'Collaborate with Product Manager and UX Designer to better understand the customer, provide valuable input into standards, layouts, navigational features, functional design, and usability', 'Help us assure absolute stability in our product through continuous integration, staged releases and feature toggles', 'Implement asynchronous messaging patterns to communicate between services', 'Apply your experience in making intelligent, forward-thinking, technical decisions to our development process, including implementing new standards, tools, APIs, and workflows', 'Prior experience building software for high traffic websites, using languages such as Javascript and Python', 'Full stack experience preferred', 'Experience with web frameworks and APIs (e.g. Flask)', 'Experience with frontend development, including Javascript and responsive layout across a wide number of devices. Experience with React/Redux is a bonus.', 'Deep understanding of relational databases, and other types of data stores', 'AWS DevOps and networking experience is a bonus', 'Experience with automated and unit testing', 'Experience with microservices architecture a plus']"
Zoll Medical Corporation,Software Test Engineer - Manual,a31faafd9f83a6f6,"['Design, develop and support unit, integration and verification tests for an embedded software application', 'Interface and collaborate as part of the software development team to report and aid diagnosis of issues.', 'Review and provide input to software designs to aid manual testing.', 'Participate in the software development life cycle including maintaining test protocols and requirement tracing.', 'Follows standard operating procedures and software test engineering best practices', '', '3+ years of software development or Manual testing experience', 'Experience with SDLC tools including bug tracking and code repository', 'Experience with embedded software development or testing is preferred', 'Experience with Scrum is helpful, but not required', 'Experience with medical device development or testing is helpful, but not required', 'Strong written & verbal communication skills', 'Candidate need to come with positive attitude and affinity for teamwork, logic, innovation, imitative and self –sufficiency', 'BS in computer science or engineering discipline is required']"
Accenture,"Quality Engineer - Charlotte & Raleigh, NC",820b6e2b9a5b2408,"['Adapts existing methods and procedures to create possible alternative solutions to moderately complex problems.', 'Understands the strategic direction set by senior management as it relates to team goals.', 'Uses considerable judgment to determine solution and seeks guidance on complex problems.', 'Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.', 'Determines methods and procedures on new assignments with guidance.', 'Decisions often impact the team in which they reside.', 'Manages small teams and/or work efforts (if in an individual contributor role) at a client or within Accenture.', 'Must be able and willing to travel 100% (Mon – Thursday every week)', 'A minimum of 3 years of experience in software testing', 'A minimum of 1 year of experience working with Agile Delivery', 'A minimum of 1 year of experience with one of the following: Jira, Rally, Microfocus ALM, Microsoft TFS, Tricentis qTest', 'A minimum of 2 years of demonstrated experience in one of the following: Java/J2EE, Groovy, Python, Ruby, JavaScript, C#', ""Bachelor's Degree or equivalent (minimum 12 years) work experience. If Associate’s Degree, must have minimum 6 years work experience."", 'A minimum of 2 year of experience performing API testing', 'A minimum of 1 year of healthcare payer experience with claims, enrollment, EDI, or encounters', 'A minimum of 1 year of experience in test automation', 'Demonstrated experience with Continuous Integration, including two or more of the following build/deploy/version control tools: Jenkins, Hudson, Bamboo, Git, Mercurial, Subversion, Bitbucket, GitHub, Grunt, Gradle, Gulp, Maven, MS TFS']"
Google,"Software Engineering Intern, BS, Winter 2020",1d99705341f0d46c,"['1. In the “Resume Section:” attach an updated CV or resume.', '2. In the “Education Section:” attach a current or recent unofficial or official transcript in English.', 'Under “Degree Status,” select “Now attending” to upload a transcript.', ""Currently enrolled in a Bachelor's degree program in Computer Science, or related technical field."", 'Experience with Data Structures or Algorithms gathered from: completing a data structures or algorithms class, coursework, course projects, research, individual projects, internships, or other practical experience inside or outside of school or work (including open source hobby coding).', 'Experience in Software Development and coding in a general purpose programming language.', 'Examples of coding in one of the following programming languages including but not limited to: C, C++, Java, JavaScript, or Python.', 'Authorization to legally work in the United States.', 'Returning to a degree program after completion of the internship.', 'Experience programming in two or more of the languages including but not limited to: C, C++, C#, Java, JavaScript, Go or Python.', 'Experience working with some of the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.', 'Demonstrated interest and ability to learn other coding languages as needed.', 'Excellent communication skills, with the ability to speak and write in English.', 'Apply knowledge gained in computer science courses to real-world challenges.', 'Analyze information and evaluate results to choose the best solution to effectively solve challenges.', 'Develop scripts to automate routine tasks.', 'Create and support a productive and innovative team. This includes working with peers, managers, and teams.']"
State Street,CRD Java Software Engineer,f0c15090579e0f84,"['CRD (Charles River Development) has a need for a Java Developer influences and impacts the architecture, standards, and design of key product initiatives for applications in C#/WPF and Java services', 'Contribute as an individual contributor within a team of top engineers', 'Work in a dynamic, fast-paced, Agile team environment', 'BS/MS in Computer Science or equivalent field is REQUIRED', '0 to 3+ years of commercial software development, proficient in developing multi-tier solutions, multithreading and core Java proficiency', 'No professional Java development experience required', 'Technical experience includes:', 'Extensive Java, J2EE n-tier application experience', 'Hands-on experience with web services', 'C#/.Net also highly desirable', 'Strong SQL skills with considerable experience in Oracle or SQL Server', 'Knowledge of XML/XSL', 'Experience with Tomcat, JBoss, Weblogic or WebSphere', 'Strong with OO design and development', 'Solid grasp of algorithms, solving difficult heuristic/optimization types of problems (Math and/or finance background highly desirable)', 'Experience with developing applications for the financial markets is highly desirable (Fixed income, Trading, FX, Risk, Portfolio/Wealth Management, Market Data, FIX, etc).', 'Product delivery experience includes developing and supporting commercial software products which were sold to non-technical customers in vertical markets', 'Ability to work independently, handle multiple tasks simultaneously and adapt quickly to changes', 'Excellent communication skills (verbal and written), good interpersonal skills, ability to gather and understand requirements in the financial sector']"
DeepHealth,Software Engineer,682a90083b60716a,"['Degree in Computer Science or related field', '2+ years experience in related field', 'Strong programming skills (e.g., python, javascript)', 'Excellent documentation, version control, and organization skills', 'Experience in web backend development, such as Flask, Django, Node.JS, etc', 'Experience with container technology, such as Docker, Amazon ECS, etc.', 'Experience with DICOM data, PACS infrastructure, FDA-regulated software development is a plus']"
Massachusetts General Hospital(MGH),Software Engineer,e73760f123b76725,"['Develop software requirements specifications for new software releases,', 'Assign software development tasks to other members of the team and monitor their progress,', 'Participate in the coding and testing of the software,', 'Lead the deployment of new software version to the two test sites (Boston Children’s Hospital and University of Houston Health),', 'Organize the collection of feedback data from the test sites and compile summaries of the feedback for the next software development cycle, and', 'Participate in the creation of user documentation and training of users,', 'Keep the project web site up to date,', 'Participate in the weekly videoconferences with the three PIs of the project and report progress.', 'Strong C++ programming skills are required and experience in using the Qt toolkit is desirable.', 'Familiarity with the LINUX, Windows, and/or Mac OSX operating systems is required.', 'Candidates need to be able to work in a modern software development environment and be familiar with controlled software development processes for future FDA compliance.', 'Experience in leading a major software development project is desirable.', 'A successful candidate can work in a dynamic, international, and collaborative work environment.', 'He/She will gain experience in recording and analyzing electrophysiological data, working with state-of-the-art brain mapping technologies as well as engaging in top level research.', 'Familiarity with MEG/EEG and MRI analysis software packages, MNE and FreeSurfer is also beneficial.']"
Worldpay,Associate Software Engineer,8a81d361f7a2fac4,"['Plans, designs, develops and tests software systems or applications for software enhancements and new products.', 'Works cross-functionally to address issues and emerging needs in software systems.', 'Rigorously tests software in preparation for deployment.', 'Works on projects from enhancements, new features and bug fixes to new and replacement products.', 'Follows standard practices and procedures in analyzing situations or data from which answers can be readily obtained.', 'Builds stable working relationships internally.', 'Typically requires no previous professional experience.']"
