Companies,Positions,ID,Descriptions
State Street,Software Engineer I (EMS Trading Team) - Charles River Development,e8a9b71f6c5126ae,"['Opportunity to influence and impact the architecture, standards, and design of key product initiatives for applications in Java services', 'Contribute as a Sr. Individual contributor within a team of top engineers', 'Work in a dynamic, fast-paced, Agile team environment', 'BS/MS in Computer Science or equivalent field', '3+ years of commercial software development, proficient in developing multi-tier solutions', '3+ years of professional Java development experience, core Java and Multi-threading', 'Ability to work independently, handle multiple tasks simultaneously and adapt quickly to changes', 'Excellent communication skills (verbal and written), good interpersonal skills, ability to gather and understand requirements in the financial sector (Math background highly desirable)', 'Extensive Java n-tier application experience', 'Hands-on experience with Web Services (C#/.Net also highly desirable)', 'Strong SQL skills with considerable experience in Oracle or SQL Server', 'Knowledge of XML/XSL', 'Experience with Tomcat, JBoss, Weblogic or Websphere', 'Strong with OO design and development', 'Solid grasp of algorithms, solving difficult heuristic/optimization types of problems', 'Experience with developing applications for the financial markets is required (Fixed Income, Trading, FX, Risk, Portfolio/Wealth Management, Market Data, FIX, etc.)', 'Has played a key role in developing and supporting commercial software products which were sold to non-technical customers in vertical markets']"
Google,"Software Engineering Intern, BS, Winter 2020",1d99705341f0d46c,"['1. In the “Resume Section:” attach an updated CV or resume.', '2. In the “Education Section:” attach a current or recent unofficial or official transcript in English.', 'Under “Degree Status,” select “Now attending” to upload a transcript.', ""Currently enrolled in a Bachelor's degree program in Computer Science, or related technical field."", 'Experience with Data Structures or Algorithms gathered from: completing a data structures or algorithms class, coursework, course projects, research, individual projects, internships, or other practical experience inside or outside of school or work (including open source hobby coding).', 'Experience in Software Development and coding in a general purpose programming language.', 'Examples of coding in one of the following programming languages including but not limited to: C, C++, Java, JavaScript, or Python.', 'Authorization to legally work in the United States.', 'Returning to a degree program after completion of the internship.', 'Experience programming in two or more of the languages including but not limited to: C, C++, C#, Java, JavaScript, Go or Python.', 'Experience working with some of the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.', 'Demonstrated interest and ability to learn other coding languages as needed.', 'Excellent communication skills, with the ability to speak and write in English.', 'Apply knowledge gained in computer science courses to real-world challenges.', 'Analyze information and evaluate results to choose the best solution to effectively solve challenges.', 'Develop scripts to automate routine tasks.', 'Create and support a productive and innovative team. This includes working with peers, managers, and teams.']"
DataDog,Software Engineer,f47387c886f1b1dd,"['Build distributed, high-throughput, real-time data pipelines', 'Do it in Go and Python, with bits of C or other languages', 'Use Kafka, Redis, Cassandra, Elasticsearch and other open-source components', 'Own meaningful parts of our service, have an impact, grow with the company', 'You have a BS/MS/PhD in a scientific field or equivalent experience', 'You have significant backend programming experience in one or more languages', 'You can get down to the low-level when needed', 'You care about code simplicity and performance', 'You want to work in a fast, high-growth startup environment that respects its engineers and customers', ""You wrote your own data pipelines once or twice before (and know what you'd like to change)"", ""You've built high scale systems with Cassandra, Redis, Kafka or Numpy"", 'You have significant experience with Go, C, or Python', 'You have a strong background in stats']"
Pluralsight,Software Engineer,ddc20246b79174f2,"['Provide architectural, strategic, and scale recommendations for both frontend and backend development', 'Collaborate with Product Manager and UX Designer to better understand the customer, provide valuable input into standards, layouts, navigational features, functional design, and usability', 'Help us assure absolute stability in our product through continuous integration, staged releases and feature toggles', 'Implement asynchronous messaging patterns to communicate between services', 'Apply your experience in making intelligent, forward-thinking, technical decisions to our development process, including implementing new standards, tools, APIs, and workflows', 'Prior experience building software for high traffic websites, using languages such as Javascript and Python', 'Full stack experience preferred', 'Experience with web frameworks and APIs (e.g. Flask)', 'Experience with frontend development, including Javascript and responsive layout across a wide number of devices. Experience with React/Redux is a bonus.', 'Deep understanding of relational databases, and other types of data stores', 'AWS DevOps and networking experience is a bonus', 'Experience with automated and unit testing', 'Experience with microservices architecture a plus']"
Achievement Network (ANet),Software Engineer,a0303ea18678af0c,"['Implement ANet’s next generation of technology products that support data-driven educational practices and help to close the achievement gap in the underserved communities we partner with.', 'Create, monitor and deliver against the product road map and corresponding release cycles (as negotiated with the Product Management Team).', 'Help manage, improve, and automate our deployment frameworks.', 'Keep abreast of new technologies and propose adoption as appropriate.', 'Actively embrace and model best practices such as code reviews, unit testing, and planning/scoping/vetting larger features.', 'Commensurate with experience, provide strategic leadership in setting goals and measuring progress in RESTful server-side APIs and/or agile, componentized client-side code.', 'Commensurate with experience, proactively look for ways to build our team through individual contributions which help us improve code quality, team culture, and team velocity.', 'You have at least one year of experience delivering software that is deployed in production using:', 'You are a team player who motivates and educates colleagues; you enjoy working in a highly collaborative and agile culture.', 'You are skilled in working closely with business partners to build technology solutions that meet the usability and functional needs of both internal and external users.', 'You operate comfortably among a highly independent staff with diverse backgrounds.', 'You bring an innovative approach to analyze, evaluate and solve problems.', 'You have a passionate commitment to and a sense of urgency for the support of schools, along with a belief that all students can achieve at high levels.', 'You are motivated by working in an environment where we live out our core values daily and are eager to examine personal archetypes and biases while discussing topics related to race, class, and privilege which relate to ANet’s Advance Equity and People Matter values.', 'You have a Bachelor’s Degree in Computer Science, Math, Engineering or related degree', 'For candidates interested in working remotely, you bring demonstrated experience and previous success working remotely']"
PatientPing,Back End Software Engineer,03a75bcd6a667f1f,"['Work closely with the Director of Engineering to ensure the highest standards of design, implementation, performance, and security are met', 'Work closely with the Product team to ensure all customer needs are met', 'Design and build new features', 'Maintain and extend existing features', 'Anticipate and start planning the next generation of software products', 'Become familiar with the details of our business domain, development process, and codebase', 'Ask questions and build healthcare industry knowledge', 'Build new capabilities and enhance existing ones based on the needs of our customers', 'Participate in the design process', 'Develop a new feature from concept to launch', 'Conduct code reviews for peers', 'Demonstrate consistently delivering on feature development expectations', 'Suggest ideas for technical enhancements', 'Work as a strong partner to product', '3+ years of Java development', 'Modern Java frameworks (Spring Boot preferred)', 'Relational database design and query via both SQL and ORM', 'ElasticSearch or other document-oriented database', 'Microservice architecture, including REST API design', 'Asynchronous data pipelines using Kafka or similar modern messaging framework', 'AWS or other public cloud environment', 'Join one of the fastest growing health tech companies in the country', 'Have the autonomy to build something with a brilliant and enthusiastically supportive team', 'Learn best practices from world class investors and advisors', 'Become an expert on healthcare delivery system transformation', 'Receive cash and equity compensation with health, dental, and other benefits']"
eviCore healthcare,Software Engineer in Test,cc4c17c9b550e324,"['Testing new and existing features for every agile sprint cycle.', 'Document and report issues discovered during testing, follow up for resolution utilizing JIRA for defect logging', 'Perform manual as well as automated testing to support system testing to insure effectiveness and quality of the components and systems developed', 'Proactively identify and diagnose performance and slowness issues. Perform root cause analysis when issues are found', 'Participates in requirements reviews, design reviews and change control activities and present the strategy for testing with product management, engineering, and other quality assurance members', 'Learn and add to the QA processes for continuous improvement and efficiency.', 'Work closely with Customer Care and customers to clearly define and validate issues, assist with defect correction priorities and validation of software corrections.', 'Collaboration with the documentation and training staff to create value focused documentation, release notes and training materials', 'Experience in testing applications with healthcare IT vendor', 'Experience in testing multi-tiered applications developed using Java/J2EE related technologies', 'Experience with SQL, ability to write, execute and analyzes SQL queries.', 'Comfortable with working in a Linux/Unix environment.', 'Experience with scripting /programming languages/automation to be able to convert existing manual test cases into automated test suites.', 'Ability to work independently with general direction setting', 'Demonstrated ability to successfully handle multiple demands and short deadlines; experience in resolving conflicts and dealing with shifting priorities', 'Excellent verbal and written communication skills', 'Experience with API testing tools and Azure', 'Agile processes', 'Experience with Selenium and BDD', 'Flexible scheduling and work/life balance with remote and work from home opportunities', '3 weeks of PTO(starting) per year plus paid holidays', 'Education assistance, tuition reimbursement and professional certifications', 'Health, dental, vision, and life benefits with employer funded HSA', 'Comprehensive employee discount program, onsite fitness facilities, and smart casual dress code', 'Paid Volunteer Community Service Days', 'Ample opportunities for growth, advancement, and promotion', '401k retirement plan with company match of 50% employee contributions up to 6%']"
Karen Clark & Company,Software Development Engineer,a4bd773d481af06c,"['Take ownership of maintaining and improving application functionality and performance', 'Develop/tune database queries to optimize application performance', 'Collaborate with other team members to ensure application enhancements are both backward compatible and extensible', 'Work on extending front-end, middle-layer, and back-end components of a Windows application using Microsoft technologies', 'MS/BS degree in computer science or equivalent', 'Strong (3 to 5 years) of C#/WinForms development experience', 'Experience working with large and complex databases (MS SQL Server)', 'Excellent problem solving, analytical, and people skills', 'Must be flexible, a good listener, and have excellent written and verbal communication skills', 'Quantitative background (math/science/engineering) a plus', 'Insurance industry experience and/or exposure to natural hazard science a plus']"
Google,"Software Engineering Intern, PhD, Winter 2020",6a9e8246f9a80bd2,"['1. In the “Resume Section:” attach an updated CV or resume.', '2. In the “Education Section:” attach a current or recent unofficial or official transcript in English.', 'Under “Degree Status,” select “Now attending” to upload a transcript.', 'Currently pursuing a PhD degree in Computer Science or in a related technical field.', 'Programming experience in one or more of the following: C/C++, Java or Python.', 'Returning to a degree program after the completion of the internship.', 'Implementation skills with one or more general purpose programming languages, including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript and/or Go.', 'Research experience in the following areas; Algorithms, Architecture, Artificial Intelligence, Compilers, Database, Data Mining, Distributed Systems, Machine Learning, Networking and/or Systems.', 'Demonstrated background in computer science, with competencies in data structures, algorithms and software design.', ""Research, conceive and develop software applications to extend and improve on Google's product offering."", 'Contribute to a wide variety of projects utilizing natural language processing, artificial intelligence, data compression, machine learning, and search technologies.', 'Collaborate on scalability challenges involving access to massive amounts of data and information.']"
XPO Logistics,Software Engineer,1024b4f07ddfadb3,"['Build industry-changing applications for the Third-Party Logistics (3PL) industry', 'Develop web, web services and back-office applications using the Microsoft stack of technologies, including ASP.NET MVC and WCF in C# and SQL Server', 'Continuously learn about new technologies and products', 'Background or education in Computer Science or Engineering', '4 years of software development experience', 'C# and .NET experience', 'HTML/CSS/JavaScript/JQuery experience', ""Bachelor's or master's degree in Computer Science or Electrical Engineering"", 'ASP.NET MVC, Entity Framework, WCF and WPF experience', 'SQL Server Guru designation']"
Raytheon,Software Engineer 2020 New College Grad! (Start in 2020),70f36ea0f40aebb2,"['Integrated Air and Defense systems, which produces the world’s most sophisticated short-, medium- and long-range, low- to high-altitude, all-weather air and missile defense systems, such as the combat-proven Patriot Missile which protects US and allied forces around the globe', 'Large Ground and Naval Radar systems where Raytheon IDS is a world leader in large scale radar development, technology, and production such as exhibited in the AN/TPY-2, UEWR, AMDR, EASR radars', 'Naval Combat Systems and Electronics such as those being built for the DDG 1000 Zumwalt-class destroyer, America’s next generation, multi-mission, naval destroyer, serving as the vanguard of an entire new generation of advanced multi-mission surface combat ships', 'Candidates must be currently enrolled in an undergraduate (or completed a degree no more than 18 months prior to start date) with an emphasis in Electrical Engineering, Computer Engineering, Computer Science, Mathematics, Physics, Software Engineering, or related engineering field.', 'U.S. Citizenship status is required as this position will need a U.S. Security Clearance within 1 year of start date.', '3.0 cumulative GPA', 'Strong analytical skills', 'Ability to work in an agile, collaborative environment', 'MATLAB, Simulink, and/or other analysis tools', 'Working knowledge of Unix', 'C, C++, JAVA', 'Unified Modeling Language (UML)', 'Engineering Project or Internship experience', 'Customer focus and collaboration skills', 'Excellent written and oral communication skills; knowledge of MS Office or other presentation tools', 'Follow @Raytheon on Twitter', 'Follow Raytheon on YouTube', 'Follow Raytheon on LinkedIn', 'Follow Raytheon Company on Instagram', 'Thomas A. Kennedy']"
Massachusetts General Hospital(MGH),Research Software Engineer,cd79a2b399aca747,['Minimum of 1 year of experience in building and debugging software projects']
Zoll Medical Corporation,Software Test Engineer - Manual,a31faafd9f83a6f6,"['Design, develop and support unit, integration and verification tests for an embedded software application', 'Interface and collaborate as part of the software development team to report and aid diagnosis of issues.', 'Review and provide input to software designs to aid manual testing.', 'Participate in the software development life cycle including maintaining test protocols and requirement tracing.', 'Follows standard operating procedures and software test engineering best practices', '', '3+ years of software development or Manual testing experience', 'Experience with SDLC tools including bug tracking and code repository', 'Experience with embedded software development or testing is preferred', 'Experience with Scrum is helpful, but not required', 'Experience with medical device development or testing is helpful, but not required', 'Strong written & verbal communication skills', 'Candidate need to come with positive attitude and affinity for teamwork, logic, innovation, imitative and self –sufficiency', 'BS in computer science or engineering discipline is required']"
State Street,CRD Java Software Engineer,f0c15090579e0f84,"['CRD (Charles River Development) has a need for a Java Developer influences and impacts the architecture, standards, and design of key product initiatives for applications in C#/WPF and Java services', 'Contribute as an individual contributor within a team of top engineers', 'Work in a dynamic, fast-paced, Agile team environment', 'BS/MS in Computer Science or equivalent field is REQUIRED', '0 to 3+ years of commercial software development, proficient in developing multi-tier solutions, multithreading and core Java proficiency', 'No professional Java development experience required', 'Technical experience includes:', 'Extensive Java, J2EE n-tier application experience', 'Hands-on experience with web services', 'C#/.Net also highly desirable', 'Strong SQL skills with considerable experience in Oracle or SQL Server', 'Knowledge of XML/XSL', 'Experience with Tomcat, JBoss, Weblogic or WebSphere', 'Strong with OO design and development', 'Solid grasp of algorithms, solving difficult heuristic/optimization types of problems (Math and/or finance background highly desirable)', 'Experience with developing applications for the financial markets is highly desirable (Fixed income, Trading, FX, Risk, Portfolio/Wealth Management, Market Data, FIX, etc).', 'Product delivery experience includes developing and supporting commercial software products which were sold to non-technical customers in vertical markets', 'Ability to work independently, handle multiple tasks simultaneously and adapt quickly to changes', 'Excellent communication skills (verbal and written), good interpersonal skills, ability to gather and understand requirements in the financial sector']"
