Companies,Positions,ID,Descriptions
,,,
Ignite Mental Health,"Front End Web Developer, Mental Health Incubator",0fd383f30f8d049e,"['Building kick ass responsive websites for organizations and movements working to transform mental health', 'Actively learning on the job and diving into new areas where you may have little expertise in', ""Learning from mistakes and failed projects (you'll be wearing a lot of hats in a lot of different functional areas)"", 'Own the mission of our organization and wear whatever ""hat"" is necessary to achieve OKR\'s!', 'Team specific responsibilities will depend on the team you are placed on and can be discussed more during the interview process', 'Deeply passionate about improving mental health', 'Growth mindset, hungry to learn and apply new skills', 'Able to perform well with a high performance team working towards ambitious goals', 'Proficient in HTML5, CSS3, jQuery, Javascript Frameworks', 'Multi-Browser/Device Programming Ability (Mobile, Tablet, Chrome, IE, Firefox or Opera if you’re feeling fancy)', 'Documentation + Version Control experience', 'Link to your portfolio / links to websites etc', 'Experience building Analyzable and Secure websites', 'Experience With Social Media and Third Party APIs', 'Proficient in Web Application Development Frameworks', 'Understanding of Object-Oriented Programming (OOP)', 'Ability to work well with difficult clients!', 'Appreciation of puns :-)']"
Formlabs,Web Developer,1991368a570db682,"['Create, update, and maintain web content in a content management system (Django-CMS), monitor (quality control) content on live site and troubleshoot', 'Develop world-class e-commerce experiences to make it easy for our customers to buy', 'Work closely with the marketing and design teams to keep our website looking fresh and serving our customers', 'Well-versed in building and shipping high-traffic websites in a production environment - have a portfolio of public facing company websites you can share', 'Excited to work with an interdisciplinary marketing and web engineering team', 'Experienced with HTML/CSS and frontend development using libraries such as React', 'Work with and have designed and built RESTful APIs', 'Comfortable being the primary owner of a codebase', 'Able to write clear code, as well as communicate and document your work', 'Guide projects to completion, on time and to plan', 'Django-cms and other content management systems', 'Front-end frameworks such as Foundation, React, Redux', 'Python, PHP, Node.js in production environments', 'Magento or comparable e-commerce platforms', 'Git experience preferred', 'Flexible vacation', 'Premium coverage for medical, dental, and vision plans', 'Paid parental leave', 'Commuter benefits', 'Unlimited 3D prints']"
Fenix Outdoor Import LLC,Front-end Web Developer,db037aa56f984c97,"['2+ years of front-end web development and design in a corporate environment', 'CMS experience: Wordpress, Drupal, Episerver, Sitecore,Ektron or equivalent', 'Proven experience and samples of work in web design and development', 'Build website wireframes and mock-ups', 'Translate our customer needs into functional and appealing interactive, intuitive landing pages', 'Knowledge of responsive web design practices', 'Participate in the on-going development of new features and enhancements of all our websites', 'Develop and test user interface designs across multiple browsers and mobile devices', 'Ability to design CSS classes and maintain good organizational structure for CSS libraries', 'Demonstrate clean coding practices in HTML/HTML5, CSS/CSS3 and JavaScript', 'Collaborate with other team members and departments to ensure understanding of business requirements', 'Define a standard user experience that captures the look-and-feel and the navigation model across teams', 'Develops comprehensive testing procedures to ensure websites display correctly cross-browser, operating systems and different digital devices', 'Develop web graphics and slideshows for online and email-based marketing initiatives', 'Designing and developing landing pages for different marketing initiatives', 'Updating and maintaining website content', 'A/B testing, Web optimization experience', 'Has a strong eye for design and a desire to create user-centered, content-driven websites.', 'Loves web design and typography', 'Understands the connection between good design and user goals', 'Enjoys working on and with a team', 'Experienced in grid systems/CSS frameworks (Bootstrap is our preference)', 'Experienced in CSS pre-processing (SASS is our preference)', 'Some familiarity with javascript/jQuery', 'Experienced in working with content management systems', 'Additional Preferred Qualifications:', 'SEO experience', 'Strong aptitude for digital marketing and marketing metrics', 'Web and Market integration Experience executing e-mail marketing campaigns']"
Perkins School for the Blind,Applications/Web Developer,fa97cc31008a6902,"['Provides website development and support across all Perkins’ programs.', 'Work closely with Business Systems Analysts and the Applications Manager to understand requirements and priorities as it relates to applications.', 'Works closely with Perkins staff to understand requirements, works to develop websites using Drupal and other open source technologies.', 'Formats new site pages/sections in a web content management system', 'Create, re-create or optimize programming, configuration, integrations and customizations to maximize the benefit to the organization of the technologies we utilize and help Perkins achieve efficiencies by eliminating inefficient processes, redundant systems and duplicate data-entry.', 'Recommend improvements to business processes to improve efficiency and reduce operational costs or to provide new operational capabilities.', 'Provides support of organizational initiatives related to the web.', 'Recommends tactics to support Perkins mission, including rationalizing and justifying enhancements to functionality and experience or adoption of new technologies.', 'Assist in software selection, business process re-engineering, application testing and solution implementation.', 'Implements best practices and Perkins standards for web accessibility.', 'Maintains eCommerce stores in Shopify, Amazon and other eCommerce initiatives.', 'Work closely with the Applications Manager, Consultants, and IT management to validate that the proposed and developed solutions meet end user needs.', 'Provide status reports for end users and internal management', 'Provide application and process training to end users', 'Perform systems administration/maintenance tasks on a variety of systems as necessary.Salesforce system administration/development experience strongly preferred.', 'Acts as the project coordinator on a diverse group of digital projects.', 'Tests new pages and functionality to uphold Perkins high accessibility standards.', 'Troubleshoots and helps resolve problems associated with Perkins websites.', 'Performs other related duties as assigned or requested.']"
Deloitte,Custom Web Developer,c2d9e91468dbfcb3,"['A Bachelor’s degree and 3+ years of front end design experience are required.', 'Available portfolio of in-market examples of successful user interface design, focused on web or mobile.', 'Expertise in designing interactive user interfaces and web interface details for various mobile and interactive platforms.', 'Demonstrated experience using HTML5, CSS, and Adobe CS tools.', 'Ability to work well in teams while independently managing all of the design components related to a given project.', 'Experience leading portions of design work.', 'Communicates clearly and concisely, both written and verbal.', 'Strong problem solving and troubleshooting skills with the ability to exercise mature judgment', 'Proficiency in D3.js.', 'Experience designing interfaces for wearable technology.', 'Experience in animation and videography.', 'Experience in data visualization using Tableau or a comparable BI tool.', 'Experience with Spotfire, Qlikview, D3, R, SPSS, SAS.', 'Graduate degree with a major in Human Computer Interaction or a closely-related design field.']"
Grubhub,UI Developer,bbe2cf04ad8e27aa,"['Build merchant applications utilizing our Web SDK', 'Ensure the technical feasibility of UI/UX designs', 'Translate designs and wireframes into high quality code', 'Build and maintain large-scale, high-availability web applications with an active and growing user base', 'Build reusable code and libraries for future use', 'Optimize components for maximum performance across a vast array of web-capable devices and browsers', 'Collaborate with other team members and stakeholders', 'Professional experience (2+ years) in front-end web development', 'Proficient understanding of web markup, including HTML5, CSS3 and a basic understanding of JavaScript', 'Experience with CSS pre-processing platforms, such as LESS and SASS', 'Exposure to a client side framework - React prefered', 'Basic experience with RESTful APIs', 'Distributed version control experience with Git', 'Proficient understanding of cross-browser compatibility issues and ways to work around them.', 'Familiarity with software like Adobe Creative Suite and Sketch a plus', 'Experience with responsive design', 'Ability to understand business requirements and translate them into technical requirements', 'Familiar with Agile software development methodologies', 'A knack for benchmarking and optimization', 'Team player with excellent written and spoken English communication skills', 'Ability to work creatively and analytically in a problem-solving environment', 'Flexible PTO. It’s true, no strings attached and all the time you need to recharge.', 'Better Benefits. Get quality insurance, flex-spending accounts, retirement options and commuter perks.', 'Free Food. Kitchens are stocked and free Grubhub each week.', 'Stock Up. All of our employees are owners, in fact, they’re granted Restricted Stock Units, which means we’re all in it to win it.', 'Casual Culture. Catch rays on the rooftop or get comfy on a couch and get to know your coworkers — because work, should be a place you want to be.']"
,,,
,,,
Massachusetts Medical Society,Junior Software Developer,9b5f35b423018794,"['Write code using a variety of programming languages and platforms such as Angular 7, NodeJS, HTML, CSS and JavaScript.', 'Build expertise in creating high-quality customer-centric user experiences (Responsive) from design deliverables and functional specifications.', 'Learn different Agile methodologies which are practiced in the organization.', '4-year degree (preferably in Computer Science, Information Technology, Engineering, Mathematics, or similar) is preferred.', 'A strong aptitude in Information technology (IT) and the interest in expanding IT skill set with strong exposure to JavaScript frameworks including NodeJS, REACT, Angular, etc.', 'A problem solver with a keen eye for detail.', 'Excellent communication, interpersonal and time management skills.', 'Experience with HTML5, CSS.', 'An ability to engage yourself in a project and enjoy the challenges and processes involved.']"
